"year_mon","category_name","state_cost","bottles_sold","retail_revenue","liters_sold"
2012-04-01,"AMARETTO - IMPORTED",373.56,12,560.4,9
2012-04-01,"LOW PROOF VODKA",6421.97,587,9635.89,548.25
2012-04-01,"WHITE CREME DE CACAO",1894.67,428,2841.44,321
2012-04-01,"STRAIGHT RYE WHISKIES",122827.65,7143,184303.91,5357.25
2012-04-01,"WHITE CREME DE MENTHE",932.4,210,1398.6,157.5
2012-04-01,"AMERICAN SLOE GINS",2400.16,561,3599.27,478.75
2012-04-01,"STRAWBERRY SCHNAPPS",8063.64,1706,12089.7,1279.5
2012-04-01,"GRAPE SCHNAPPS",20814.15,2956,31210.79,2738.75
2012-04-01,"TEQUILA",842786.31,79909,1275045.74,67312.85
2012-04-01,"WATERMELON SCHNAPPS",19983.6,2817,29964.75,2645.25
2012-04-01,"VODKA 80 PROOF",1359846.28,267948,2045311.54,268792.91
2012-04-01,"CREAM LIQUEURS",346673.63,28454,519993.42,22981.49
2012-04-01,"RASPBERRY SCHNAPPS",7633.69,1421,11451,1224
2012-04-01,"IMPORTED SCHNAPPS",335595.58,29852,503307.34,28562.63
2012-04-01,"GREEN CREME DE MENTHE",3390.83,767,5084.78,575.25
2012-04-01,"CANADIAN WHISKIES",1370920.19,157624,2066719.98,164016.58
2012-04-01,"PUERTO RICO & VIRGIN ISLANDS RUM",449341.25,65957,674029.42,69765.25
2012-04-01,"WHISKEY LIQUEUR",355987.17,36716,533962.06,31923.22
2012-04-01,"TRIPLE SEC",38574.36,15123,57814.08,14797.75
2012-04-01,"AMERICAN GRAPE BRANDIES",170081.8,44508,255903.96,22250.63
2012-04-01,"PEACH SCHNAPPS",64894.97,9944,97317.41,9252.84
2012-04-01,"IMPORTED VODKA - MISC",336838.92,30356,508162.48,23834.75
2012-04-01,"BUTTERSCOTCH SCHNAPPS",23772.15,3668,35647.62,3231
2012-04-01,"SCOTCH WHISKIES",254586.2,19138,382170.16,21438.34
2012-04-01,"JAMAICA RUM",15431.28,1510,23156.91,1283.25
2012-04-01,"IMPORTED AMARETTO",18538.48,1424,27801.36,1047.79
2012-04-01,"100 PROOF VODKA",71461.35,12733,107221.09,14406
2012-04-01,"SPEARMINT SCHNAPPS",1372.63,322,2061.15,292.25
2012-04-01,"AMERICAN DRY GINS",212321.72,47607,318784.88,36365.71
2012-04-01,"CINNAMON SCHNAPPS",26356.62,3506,39525.62,3007.89
2012-04-01,"ROOT BEER SCHNAPPS",11906.14,2157,17850.92,2040
2012-04-01,"FLAVORED RUM",315700.17,37447,473965.23,32566.75
2012-04-01,"OTHER PROOF VODKA",2743.14,349,4114.71,261.75
2012-04-01,"APPLE SCHNAPPS",37642.57,5501,56448.62,4876.13
2012-04-01,"PEPPERMINT SCHNAPPS",59662.41,13359,89504.59,12208.63
2012-04-01,"ANISETTE",315.33,69,473.34,51.75
2012-04-01,"MISCELLANEOUS  BRANDIES",4163.84,344,6246.75,135.9
2012-04-01,"STRAIGHT BOURBON WHISKIES",565639.91,57102,850998.5,56068.18
2012-05-01,"WHITE CREME DE MENTHE",945.72,213,1418.58,159.75
2012-05-01,"SPEARMINT SCHNAPPS",1655.41,359,2484.91,352
2012-05-01,"BOTTLED IN BOND BOURBON",6773.61,387,10160.09,290.25
2012-05-01,"IMPORTED SCHNAPPS",312627.46,27307,468868,25841.16
2012-05-01,"OTHER PROOF VODKA",2979.48,382,4469.22,286.5
2012-05-01,"PUERTO RICO & VIRGIN ISLANDS RUM",586737.39,80037,880027.91,86939.96
2012-05-01,NA,4413.15,223,6946.31,167.25
2012-05-01,"TROPICAL FRUIT SCHNAPPS",8444.75,1777,12663.3,1586
2012-05-01,"BLACKBERRY BRANDIES",40903.87,7039,61373.01,6182.51
2012-05-01,"BLENDED WHISKIES",456369.85,76899,684751.1,74609.83
2012-05-01,"CINNAMON SCHNAPPS",26421.53,3602,39623.47,3045.38
2012-05-01,"AMERICAN AMARETTO",40426.59,9650,60649.3,8920.5
2012-05-01,"TENNESSEE WHISKIES",496462.18,36813,744545.08,29576.06
2012-05-01,"DARK CREME DE CACAO",2888.14,633,4336.73,474.75
2012-05-01,"DECANTERS & SPECIALTY PACKAGES",16839.12,1283,25262.13,818.93
2012-05-01,"GRAPE SCHNAPPS",24155.25,3381,36219.28,3215.5
2012-05-01,"SPICED RUM",1261380.36,128347,1893000.71,125681.76
2012-05-01,"PEACH BRANDIES",3533.79,663,5304,497.25
2012-05-01,"STRAIGHT BOURBON WHISKIES",665106.6,66700,1007933.27,66589.23
2012-05-01,"RASPBERRY SCHNAPPS",8698.83,1586,13052.92,1364.25
2012-05-01,"TRIPLE SEC",46786.54,18337,70134.02,17821.75
2012-05-01,"IMPORTED DRY GINS",227583.71,15550,341538.04,14586.51
2012-05-01,"DISTILLED SPIRITS SPECIALTY",61404.52,12613,92422.51,12409
2012-05-01,"IMPORTED VODKA",915050.01,69546,1378810.7,63066.08
2012-05-01,"WATERMELON SCHNAPPS",22387.05,3158,33568.71,2961.75
2012-05-01,"CREAM LIQUEURS",492659.35,40793,741194.51,32409.7
2012-05-01,"MISCELLANEOUS  BRANDIES",2685.72,190,4028.84,134.1
2012-05-01,"CHERRY BRANDIES",7929.88,1546,11901.62,1101.76
2012-05-01,"COFFEE LIQUEURS",101873.66,9269,152932.61,7881.56
2012-05-01,"FLAVORED RUM",393256.19,47432,590516.94,40922.06
2012-05-01,"TEQUILA",875370.88,84734,1315537.64,71331.63
2012-05-01,"WHISKEY LIQUEUR",308187.63,32794,462798.85,27827.32
2012-05-01,"IMPORTED GRAPE BRANDIES",255837.27,25218,383823.94,10665.8
2012-05-01,"IMPORTED AMARETTO",21081.72,1602,31615.08,1190.63
2012-05-01,"VODKA FLAVORED",536508.64,70967,805975.74,58910.96
2012-05-01,"CANADIAN WHISKIES",1848537.74,209786,2798593.76,250737.74
2012-05-01,"AMERICAN DRY GINS",241006.06,53467,361786.14,41250.79
2012-05-01,"BUTTERSCOTCH SCHNAPPS",25772.66,4004,38655.9,3512.5
2012-05-01,"APRICOT BRANDIES",22398.59,4736,33612.78,3209.65
2012-05-01,"AMERICAN SLOE GINS",4313.56,967,6468.64,822.25
2012-05-01,"STRAIGHT RYE WHISKIES",139118.81,12979,208680.41,9734.25
2012-05-01,"BARBADOS RUM",5999.38,549,8999.04,423.75
2012-05-01,"GREEN CREME DE MENTHE",1999.82,439,3002.77,329.25
2012-05-01,"STRAWBERRY SCHNAPPS",8984.16,1869,13488.81,1401.75
2012-05-01,"JAMAICA RUM",15708.06,1570,23572.8,1290.5
2012-05-01,"PEPPERMINT SCHNAPPS",69352.63,15345,104045.94,14027.97
2012-05-01,"SCOTCH WHISKIES",313133.39,23429,470231.79,26448.91
2012-05-01,"ROCK & RYE",1138.83,231,1707.09,173.25
2012-05-01,"SINGLE BARREL BOURBON WHISKIES",6684.6,390,10026.55,292.5
2012-05-01,"ROOT BEER SCHNAPPS",11270.93,2170,17265.24,2052.75
2012-05-01,"LOW PROOF VODKA",4264.27,349,6398.15,261.75
2012-05-01,"PEACH SCHNAPPS",74075.5,11266,111099.92,10419.38
2012-05-01,"AMERICAN GRAPE BRANDIES",179330.51,48062,269882.19,23231.85
2012-05-01,"MISC. IMPORTED CORDIALS & LIQUEURS",498901.69,37992,751219.06,28757.37
2012-05-01,"SINGLE MALT SCOTCH",126635.79,4884,189954.48,3798.89
2012-05-01,"VODKA 80 PROOF",1588091.92,312149,2385402.67,315290.96
2012-05-01,"AMERICAN ALCOHOL",28332.9,3402,42516.36,2581.5
