"year_mon","type","category","state_cost","retail_revenue","bottles_sold","liters_sold"
2016-03-01,"schnapps","apple schnapps",27083.41,40640.79,3567,3418.52
2016-03-01,"brandy","apricot brandies",18153.68,27236.19,3042,2623.36
2016-03-01,"rum","barbados rum",3439.09,5158.86,309,231.75
2016-03-01,"brandy","blackberry brandies",45768.22,68668.87,7671,6815.63
2016-03-01,"whiskey","blended whiskies",452639.54,679061.23,76052,69304.57
2016-03-01,"whiskey","bottled in bond bourbon",1523.11,2285.44,162,121.5
2016-03-01,"schnapps","butterscotch schnapps",26936.18,40417.86,3826,3444.5
2016-03-01,"whiskey","canadian whiskies",1695864.92,2545202.31,191424,176683.92
2016-03-01,"brandy","cherry brandies",6049.4,9074.1,1110,832.5
2016-03-01,"schnapps","cinnamon schnapps",17463.65,26203.49,2263,2055
2016-03-01,"liqueur","coffee liqueurs",92920.99,139415.19,8240,7124.23
2016-03-01,"whiskey","corn whiskies",7289.88,10934.82,19,202.5
2016-03-01,"liqueur","cream liqueurs",280050.89,421226.21,23739,20293.81
2016-03-01,"liqueur","creme de almond",661.5,992.31,145,108.75
2016-03-01,"liqueur","dark creme de cacao",2175.5,3265.54,458,343.5
2016-03-01,"other","decanters & specialty packages",22561.39,33847.99,1575,1157.25
2016-03-01,"other","distilled spirits specialty",99836.82,149790.62,16562,15812.15
2016-03-01,"gin","flavored gins",5483.17,8228.9,829,621.75
2016-03-01,"rum","flavored rum",318821.75,478349.4,35675,31438.9
2016-03-01,"schnapps","grape schnapps",26948.2,40438.1,3490,3407.5
2016-03-01,"liqueur","green creme de menthe",4894.24,7345.31,1041,783.75
2016-03-01,"liqueur","imported amaretto",69.6,104.4,6,4.5
2016-03-01,"gin","imported dry gins",180657.82,271002.63,11959,11311.64
2016-03-01,"brandy","imported grape brandies",501261.38,752006.31,45196,18677.57
2016-03-01,"schnapps","imported schnapps",266665.55,400043.48,23128,21409.15
2016-03-01,"vodka","imported vodka",859385.08,1289295.72,64751,66105.12
2016-03-01,"vodka","imported vodka - misc",362619.07,544037.51,32132,22219.05
2016-03-01,"whiskey","irish whiskies",419872.71,629898.92,24153,20515.36
2016-03-01,"rum","jamaica rum",13364.6,20047.08,1129,996
2016-03-01,"whiskey","japanese whisky",9899.39,14849.8,233,186.45
2016-03-01,"liqueur","misc. american cordials & liqueurs",29177.11,43778.01,4179,3063.64
2016-03-01,"liqueur","misc. imported cordials & liqueurs",492015.96,738101.48,36370,27740.66
2016-03-01,"brandy","miscellaneous  brandies",10397.98,15599.71,1854,1095.42
2016-03-01,"schnapps","miscellaneous schnapps",27371.42,41072.03,5268,3058.45
2016-03-01,"vodka","other proof vodka",2976.81,4467.18,393,462.75
2016-03-01,"brandy","peach brandies",18167.37,27256.42,4525,2161.71
2016-03-01,"schnapps","peach schnapps",82374.12,123599.9,11386,10836.6
2016-03-01,"schnapps","peppermint schnapps",120335.66,180538.1,20056,17196.17
2016-03-01,"rum","puerto rico & virgin islands rum",393238.16,589893.56,54809,58203.25
2016-03-01,"schnapps","raspberry schnapps",6078.84,9118.96,1067,957.5
2016-03-01,"cocktail","rock & rye",704.99,1058.2,143,107.25
2016-03-01,"schnapps","root beer schnapps",8401.33,12603.69,1357,1315
2016-03-01,"whiskey","scotch whiskies",270861.05,406339.85,17529,19388.29
2016-03-01,"whiskey","single barrel bourbon whiskies",19907.28,29864.07,960,711
2016-03-01,"whiskey","single malt scotch",117302.41,175959.52,3935,3072.4
2016-03-01,"schnapps","spearmint schnapps",1515,2272.5,303,303
2016-03-01,"rum","spiced rum",1204728.35,1807293.56,118171,117038.99
2016-03-01,"whiskey","straight bourbon whiskies",1016942.52,1525645.33,84490,77832.63
2016-03-01,"whiskey","straight rye whiskies",99728.63,149613.31,5940,4455
2016-03-01,"schnapps","strawberry schnapps",6129.9,9198,1128,846
2016-03-01,"whiskey","tennessee whiskies",709122.53,1063795.17,48268,38096.35
2016-03-01,"tequila","tequila",880938.87,1321518.02,77120,61564.34
2016-03-01,"other","triple sec",52046.15,78097.12,18195,16735.75
2016-03-01,"schnapps","tropical fruit schnapps",5111.53,7670.11,1021,937.75
2016-03-01,"vodka","vodka 80 proof",1973500.08,2961264.49,370566,345190.66
2016-03-01,"vodka","vodka flavored",468456.7,702799.4,69914,51591.62
2016-03-01,"schnapps","watermelon schnapps",31114.14,46688.52,4076,3922.5
2016-03-01,"whiskey","whiskey liqueur",749564.92,1124660.51,101043,66546.3
2016-03-01,"liqueur","white creme de cacao",2769.75,4156.83,591,443.25
2016-03-01,"unknown",NA,2263.98,3396.72,198,183.75
2016-04-01,"vodka","100 proof vodka",35288.46,53585.19,3529,5641.75
2016-04-01,"liqueur","amaretto - imported",747.12,1120.8,24,18
2016-04-01,"other","american alcohol",20475.82,30715.02,2301,1737.75
2016-04-01,"liqueur","american amaretto",29450.95,44194.16,6759,6346.75
2016-04-01,"cocktail","american cocktails",523048.46,786922.08,67683,111272.54
2016-04-01,"gin","american dry gins",170155.36,255615.9,34590,28047.51
2016-04-01,"brandy","american grape brandies",161817,243158.79,40404,19291.16
